reg_id,inbreeding
HODNK000000255761,11.66
HONLD000366047262,5.55
HONLD000429390128,4.58
HONLD000498938423,4.05
HONLD000519399633,5.56
HONLD000465477157,3.92
HONLD000439898618,4.34
HONLD000429923126,4.46
HONLD000447098327,3.45
HONLD000446327701,3.92
HONLD000937658659,7.86
HONLD000324796656,4.16
HONLD000342685156,3.31
HONLD000349232182,6.01
HONLD000265079119,3.64
HONLD000298541634,4.87
HONLD000342018996,3.14
HONLD000393926633,5.91
HONLD000295614274,5.85
HONLD000345347691,5.17
HONLD000418067103,3.85
HONLD000643401574,8.1
HONLD000292911026,5.2
HONLD000295614731,7.39
HONLD000358039679,6.03
HONLD000443771842,6.06
HONLD000440865469,6
HONLD000431822727,5.33
HONLD000420132800,4.95
HONLD000396668543,12.13
HONLD000419998633,5.28
HONLD000383090074,6.3
HOCAN000007789679,5.18
HONLD000386834273,10.43
HONLD000644948755,6.05
NRNOR000000005894,0.43
JENZL000000306048,4.62
AYNZL000000507515,1.01
AYNZL000000501541,0
AYNZL000000504534,0.11
AYNZL000000500533,1.74
JEUSA000000665547,0
JENZL000000301108,1.06
AYNZL000000061772,0
AYNZL000000500520,0
HONZL000000099285,0.7
JEUSA000110129297,0
HONZL000000095323,0.48
AYNZL000000503579,0
HONZL000000097392,4.1
HONZL000000096329,1.03
JENZL000000301031,1.24
HONZL000000103505,1.54
JENZL000000306820,0.94
JENZL000000301104,2.32
JENZL000000306549,6.69
HONZL000000104015,1.45
JENZL000000506086,0.35
HONZL000000106079,2.64
JENZL000000305068,4.86
JENZL000000308080,3.14
AYNZL000000506544,1.89
JENZL000000306041,5.16
JENZL000000306025,2.63
HONZL000000109068,3.58
JENZL000000309030,3.75
JENZL000000306047,1.61
HONZL000000509045,0.14
HONZL000000110016,2.13
JENZL000000511038,2.73
HONZL000000111555,3.15
HONZL000000109004,2.47
HONZL000000110086,2.18
HONZL000000509072,2.32
